fecha,max,mes
1970,31.7,Julio
1970,30.4,Agosto
1970,29.1,Septiembre
1970,19.0,Octubre
1970,15.8,Noviembre
1970,7.8,Diciembre
1971,8.7,Enero
1971,13.7,Febrero
1971,12.0,Marzo
1971,19.1,Abril
1971,20.1,Mayo
1971,25.9,Junio
1971,30.9,Julio
1971,31.2,Agosto
1971,26.4,Septiembre
1971,21.8,Octubre
1971,11.5,Noviembre
1971,8.4,Diciembre
1972,8.7,Enero
1972,12.4,Febrero
1972,15.8,Marzo
1972,17.7,Abril
1972,21.0,Mayo
1972,25.5,Junio
1972,30.1,Julio
1972,27.8,Agosto
1972,21.8,Septiembre
1972,18.7,Octubre
1972,14.7,Noviembre
1972,8.6,Diciembre
1973,9.3,Enero
1973,11.7,Febrero
1973,14.7,Marzo
1973,18.1,Abril
1973,25.1,Mayo
1973,26.3,Junio
1973,30.1,Julio
1973,31.9,Agosto
1973,26.7,Septiembre
1973,20.2,Octubre
1973,12.9,Noviembre
1973,10.7,Diciembre
1974,12.2,Enero
1974,12.2,Febrero
1974,14.4,Marzo
1974,17.1,Abril
1974,23.0,Mayo
1974,27.0,Junio
1974,30.0,Julio
1974,29.4,Agosto
1974,24.3,Septiembre
1974,16.2,Octubre
1974,15.0,Noviembre
1974,10.7,Diciembre
1975,10.5,Enero
1975,13.5,Febrero
1975,13.3,Marzo
1975,18.3,Abril
1975,20.8,Mayo
1975,26.7,Junio
1975,32.9,Julio
1975,29.8,Agosto
1975,24.8,Septiembre
1975,20.6,Octubre
1975,14.5,Noviembre
1975,7.7,Diciembre
1976,10.0,Enero
1976,12.6,Febrero
1976,16.4,Marzo
1976,16.7,Abril
1976,24.3,Mayo
1976,30.1,Junio
1976,30.5,Julio
1976,29.4,Agosto
1976,25.1,Septiembre
1976,19.0,Octubre
1976,13.6,Noviembre
1976,11.3,Diciembre
1977,9.8,Enero
1977,14.9,Febrero
1977,17.3,Marzo
1977,19.1,Abril
1977,20.5,Mayo
1977,24.6,Junio
1977,27.0,Julio
1977,28.0,Agosto
1977,26.5,Septiembre
1977,21.1,Octubre
1977,14.5,Noviembre
1977,11.1,Diciembre
1978,9.0,Enero
1978,14.2,Febrero
1978,16.7,Marzo
1978,17.0,Abril
1978,21.3,Mayo
1978,25.3,Junio
1978,31.3,Julio
1978,31.1,Agosto
1978,28.0,Septiembre
1978,20.5,Octubre
1978,13.1,Noviembre
1978,12.0,Diciembre
1979,11.2,Enero
1979,12.4,Febrero
1979,16.0,Marzo
1979,16.6,Abril
1979,23.7,Mayo
1979,27.3,Junio
1979,31.5,Julio
1979,29.4,Agosto
1979,26.0,Septiembre
1979,20.5,Octubre
1979,12.4,Noviembre
1979,10.0,Diciembre
1980,10.7,Enero
1980,14.6,Febrero
1980,15.4,Marzo
1980,16.6,Abril
1980,19.7,Mayo
1980,25.0,Junio
1980,29.9,Julio
1980,32.0,Agosto
1980,28.4,Septiembre
1980,20.4,Octubre
1980,12.2,Noviembre
1980,9.3,Diciembre
1981,10.9,Enero
1981,11.3,Febrero
1981,18.6,Marzo
1981,18.4,Abril
1981,21.7,Mayo
1981,28.8,Junio
1981,29.6,Julio
1981,30.0,Agosto
1981,27.3,Septiembre
1981,22.2,Octubre
1981,16.2,Noviembre
1981,13.7,Diciembre
1982,12.8,Enero
1982,11.8,Febrero
1982,15.2,Marzo
1982,19.1,Abril
1982,23.0,Mayo
1982,29.8,Junio
1982,32.4,Julio
1982,28.9,Agosto
1982,26.6,Septiembre
1982,19.7,Octubre
1982,13.8,Noviembre
1982,10.6,Diciembre
1983,9.3,Enero
1983,11.1,Febrero
1983,17.0,Marzo
1983,19.5,Abril
1983,22.7,Mayo
1983,28.8,Junio
1983,33.7,Julio
1983,28.6,Agosto
1983,28.2,Septiembre
1983,22.5,Octubre
1983,15.9,Noviembre
1983,11.1,Diciembre
1984,11.1,Enero
1984,11.6,Febrero
1984,13.7,Marzo
1984,19.9,Abril
1984,17.9,Mayo
1984,27.1,Junio
1984,33.0,Julio
1984,29.3,Agosto
1984,25.6,Septiembre
1984,20.7,Octubre
1984,15.3,Noviembre
