id,date,value,min
222,23/07/1985,1,22
223,24/07/1985,1,21
224,25/07/1985,1,21.8
225,26/07/1985,1,20.2
226,29/07/1985,1,20
227,12/08/1985,1,20.4
228,19/08/1985,1,20.6
229,26/06/1986,1,21.2
230,05/07/1986,1,20
231,11/07/1986,1,20
232,29/07/1986,1,20
233,30/07/1986,1,20
234,02/08/1986,1,20.8
235,03/08/1986,1,20.6
236,09/08/1986,1,20
237,10/08/1986,1,20.6
238,14/08/1986,1,21.2
239,15/08/1986,1,21.2
240,16/08/1986,1,20.4
241,17/08/1986,1,20
242,18/08/1986,1,22.4
243,16/09/1986,1,20.2
244,29/06/1987,1,20.4
245,30/06/1987,1,20.2
246,01/07/1987,1,21
247,03/07/1987,1,21
248,04/07/1987,1,22
249,05/07/1987,1,21.8
250,06/07/1987,1,21.8
251,07/07/1987,1,21
252,08/07/1987,1,20
253,11/07/1987,1,20.6
254,12/07/1987,1,21.4
255,14/07/1987,1,20.6
256,04/08/1987,1,20.6
257,06/08/1987,1,21
258,11/08/1987,1,20
259,12/08/1987,1,22.2
260,13/08/1987,1,23.8
261,14/08/1987,1,22.6
262,15/08/1987,1,24
263,16/08/1987,1,23.8
264,17/08/1987,1,20.4
265,18/08/1987,1,21
266,19/08/1987,1,20
267,20/08/1987,1,22
268,21/08/1987,1,22
269,22/08/1987,1,20.6
270,30/08/1987,1,20.2
271,13/09/1987,1,20.5
272,22/07/1988,1,21.5
273,23/07/1988,1,22
274,26/07/1988,1,20
275,02/08/1988,1,21
276,07/08/1988,1,20
277,09/08/1988,1,20
278,10/08/1988,1,20.6
279,12/08/1988,1,20
280,14/08/1988,1,20.5
281,15/08/1988,1,22
282,16/08/1988,1,20.4
283,19/08/1988,1,20.2
284,28/08/1988,1,20
285,13/06/1989,1,20.2
286,17/06/1989,1,20.8
287,21/06/1989,1,21.5
288,22/06/1989,1,20.4
289,25/06/1989,1,20.5
290,26/06/1989,1,20.4
291,01/07/1989,1,20
292,05/07/1989,1,20.4
293,06/07/1989,1,20.2
294,18/07/1989,1,21.8
295,20/07/1989,1,22.6
296,21/07/1989,1,21.8
297,23/07/1989,1,20.2
298,30/07/1989,1,21.4
299,31/07/1989,1,21
300,03/08/1989,1,21
301,07/08/1989,1,21.4
302,08/08/1989,1,20.4
303,09/08/1989,1,21
304,10/08/1989,1,20.4
305,14/08/1989,1,21
306,15/08/1989,1,21.6
307,19/08/1989,1,20.6
308,21/08/1989,1,20.4
309,22/08/1989,1,21.6
310,24/08/1989,1,20.2
311,26/06/1990,1,20.7
312,29/06/1990,1,20
313,17/07/1990,1,20
314,18/07/1990,1,21
315,19/07/1990,1,20.5
316,20/07/1990,1,21
317,21/07/1990,1,21.2
318,22/07/1990,1,21.9
319,23/07/1990,1,23.7
320,24/07/1990,1,21
321,25/07/1990,1,20.5
322,26/07/1990,1,20.5
323,27/07/1990,1,20.5
324,01/08/1990,1,21.5
325,02/08/1990,1,21.5
326,03/08/1990,1,21.3
327,04/08/1990,1,20.8
328,05/08/1990,1,22.2
329,11/08/1990,1,20.4
330,12/08/1990,1,21
331,13/08/1990,1,20
332,20/08/1990,1,20
333,23/08/1990,1,20.5
334,24/08/1990,1,20.8
335,14/09/1990,1,21
336,24/06/1991,1,21.2
337,25/06/1991,1,21.5
338,08/07/1991,1,20
339,09/07/1991,1,21.9
340,10/07/1991,1,20.5
341,11/07/1991,1,22
342,12/07/1991,1,20
343,18/07/1991,1,21.6
344,19/07/1991,1,21.2
345,20/07/1991,1,20.4
346,21/07/1991,1,20.4
347,22/07/1991,1,20.4
348,29/07/1991,1,20.4
349,03/08/1991,1,20.7
350,04/08/1991,1,21.2
351,05/08/1991,1,21.3
352,06/08/1991,1,21.6
353,07/08/1991,1,21.4
354,14/08/1991,1,20.4
355,15/08/1991,1,20.3
356,16/08/1991,1,20
357,19/08/1991,1,20
358,20/08/1991,1,21.8
359,21/08/1991,1,20.4
360,22/08/1991,1,21.1
361,24/08/1991,1,21.1
362,25/08/1991,1,20.7
363,26/08/1991,1,22.4
364,27/08/1991,1,21.3
365,28/08/1991,1,20
366,30/08/1991,1,21.8
367,31/08/1991,1,21.6
368,10/09/1991,1,20.4
369,16/07/1992,1,20.4
370,18/07/1992,1,20.7
371,19/07/1992,1,21
372,20/07/1992,1,21
373,24/07/1992,1,20
374,26/07/1992,1,21.8
375,27/07/1992,1,22.2
376,28/07/1992,1,20
377,29/07/1992,1,21.6
378,30/07/1992,1,21.4
379,31/07/1992,1,21
380,01/08/1992,1,22
381,02/08/1992,1,20.2
382,03/08/1992,1,22.6
383,04/08/1992,1,20.4
384,05/08/1992,1,20.4
385,06/08/1992,1,23
386,07/08/1992,1,22
387,17/08/1992,1,22
388,18/08/1992,1,20.2
389,19/08/1992,1,21.4
390,23/08/1992,1,20.2
391,24/08/1992,1,21
392,25/08/1992,1,21.5
393,26/08/1992,1,20
394,28/06/1993,1,20.5
395,15/07/1993,1,20.2
396,16/07/1993,1,21.5
397,17/07/1993,1,20
398,29/07/1993,1,21.6
399,05/08/1993,1,24.3
400,06/08/1993,1,22.3
401,12/08/1993,1,20.6
402,16/08/1993,1,20
403,19/08/1993,1,20
404,20/08/1993,1,21.2
405,21/08/1993,1,21.8
406,22/08/1993,1,20.6
407,01/06/1994,1,21.8
408,29/06/1994,1,20
409,30/06/1994,1,20
410,01/07/1994,1,21
411,04/07/1994,1,23
412,05/07/1994,1,20.2
413,11/07/1994,1,20.8
414,15/07/1994,1,21.8
415,16/07/1994,1,20.7
416,17/07/1994,1,22.2
417,22/07/1994,1,20
418,23/07/1994,1,20
419,24/07/1994,1,20
420,25/07/1994,1,20.9
421,26/07/1994,1,20.4
422,27/07/1994,1,21.2
423,28/07/1994,1,21.6
424,29/07/1994,1,22.8
