id,date,value,min
964,29/07/2017,1,21.4
965,30/07/2017,1,22.3
966,31/07/2017,1,20.6
967,01/08/2017,1,20.1
968,02/08/2017,1,20.9
969,03/08/2017,1,22.9
970,04/08/2017,1,23
971,05/08/2017,1,20.2
972,07/08/2017,1,20.2
973,14/08/2017,1,20.2
974,15/08/2017,1,20.4
975,16/08/2017,1,20
976,18/08/2017,1,21.6
977,22/08/2017,1,20.9
978,23/08/2017,1,21.6
979,25/08/2017,1,20.5
980,26/08/2017,1,21.7
981,22/06/2018,1,21
982,27/06/2018,1,21
983,03/07/2018,1,21.3
984,04/07/2018,1,20.9
985,08/07/2018,1,20.3
986,10/07/2018,1,21.1
987,13/07/2018,1,20.1
988,14/07/2018,1,20.9
989,15/07/2018,1,20.8
990,16/07/2018,1,20.6
991,18/07/2018,1,20.7
992,24/07/2018,1,22
993,25/07/2018,1,21.6
994,26/07/2018,1,21.8
995,27/07/2018,1,22.1
996,28/07/2018,1,22.4
997,29/07/2018,1,20.4
998,30/07/2018,1,22
999,31/07/2018,1,23.7
1000,01/08/2018,1,21.8
1001,02/08/2018,1,22.3
1002,03/08/2018,1,23.6
1003,04/08/2018,1,23.8
1004,05/08/2018,1,22.8
1005,06/08/2018,1,22.9
1006,07/08/2018,1,22.2
1007,08/08/2018,1,21.3
1008,11/08/2018,1,20
1009,22/08/2018,1,20.1
1010,23/08/2018,1,21.7
